Condutividade,DO,pH,ORP,Profundidade,Temperatura,Turbidez,Clorofila
121.73,8.32,7.47,198.04,0.37,20.55,6.98,59.97
121.29,5.67,6.9,231.3,0.4,19.98,4.65,30.59
120.77,5.33,6.79,229.2,0.42,19.61,3.94,17.06
119.5,7.61,7.1,228.61,0.41,19.47,5.2,38.0
121.17,7.96,7.12,208.77,0.39,19.73,4.76,24.39
120.21,7.9,7.31,224.04,0.4,19.46,5.47,21.21
119.96,7.94,7.36,221.75,0.35,19.31,5.94,32.3
120.79,8.48,7.65,222.72,0.35,19.74,7.7,27.23
121.46,8.15,7.49,214.16,0.4,20.0,8.42,16.71
122.33,6.79,7.15,217.03,0.4,19.88,5.75,22.62
122.27,6.17,6.95,195.3,0.33,19.79,3.57,6.8
122.81,4.77,6.79,199.12,0.38,19.71,2.05,5.12
123.06,4.08,6.69,222.39,0.41,19.61,2.07,6.1
121.96,4.14,6.63,244.41,0.49,19.24,2.21,7.12
122.33,4.77,6.72,250.29,0.5,19.03,2.06,8.16
118.53,5.14,6.63,220.65,0.43,19.13,1.43,9.54
115.83,6.32,7.72,140.69,0.4,19.52,1.08,15.45
115.23,8.17,8.31,140.62,0.39,19.81,1.78,26.15
115.85,9.45,8.9,132.17,0.38,20.15,2.18,30.68
117.19,10.5,9.49,132.39,0.32,20.73,2.75,33.2
121.15,11.85,9.92,127.79,0.3,21.96,3.1,35.21
116.04,10.1,9.52,126.44,0.35,21.56,3.92,51.13
115.15,7.68,8.3,142.56,0.33,21.0,3.21,34.2
115.07,7.0,8.1,149.36,0.3,20.88,2.32,20.62
116.56,6.64,7.95,176.15,0.26,21.06,1.74,16.51
117.33,7.19,8.13,235.46,0.3,21.51,2.36,19.36
119.33,7.29,8.16,209.84,0.3,22.0,1.61,16.59
120.63,7.72,8.28,175.48,0.3,22.6,1.42,16.95
121.88,6.89,7.96,175.74,0.3,22.76,1.71,19.25
131.47,8.36,7.9,160.37,0.3,23.26,2.07,21.11
132.29,8.38,7.97,180.79,0.31,23.58,1.95,21.48
129.48,6.65,7.38,242.06,0.39,22.84,2.4,25.87
131.35,7.51,7.7,282.31,0.31,23.21,2.33,25.94
131.33,7.83,7.65,281.57,0.28,23.35,2.52,28.47
128.73,6.38,7.24,277.36,0.31,22.42,2.87,28.13
125.75,5.71,7.13,269.67,0.3,21.65,3.24,27.57
125.83,5.98,7.21,264.42,0.3,21.38,3.0,27.2
125.0,5.82,7.16,262.38,0.32,21.1,2.94,26.16
125.38,5.77,7.16,253.11,0.34,20.93,2.97,27.98
128.17,7.28,7.63,237.93,0.33,21.84,2.83,26.8
131.98,9.67,8.43,230.47,0.28,23.01,2.84,33.14
127.65,9.1,8.26,246.2,0.27,22.24,2.81,39.11
124.71,6.34,7.24,260.61,0.32,21.16,2.83,34.53
122.1,5.61,7.1,263.72,0.4,20.67,2.77,30.66
122.77,5.81,7.13,259.66,0.38,20.43,2.74,31.43
124.5,6.79,7.35,253.18,0.3,20.87,2.57,27.26
128.71,8.42,7.88,248.31,0.3,21.94,2.62,23.03
132.35,10.16,8.65,231.31,0.28,23.32,2.61,23.68
135.83,10.4,8.88,233.6,0.21,24.1,2.87,27.22
136.33,9.12,8.65,220.56,0.22,24.15,3.22,32.48
135.02,7.18,7.51,231.05,0.37,23.32,3.24,29.11
131.38,6.92,7.34,244.15,0.38,22.72,3.05,26.51
134.56,8.39,7.95,242.83,0.31,23.73,2.84,28.51
134.63,8.66,8.09,237.53,0.3,23.76,3.24,35.36
132.46,7.72,7.68,242.0,0.3,23.38,3.42,32.69
130.69,6.87,7.31,247.42,0.3,23.06,3.18,27.96
135.44,8.09,7.78,251.56,0.3,23.8,3.15,31.99
136.43,9.23,8.41,240.76,0.3,24.42,3.39,35.63
138.91,9.58,8.73,233.42,0.29,25.34,3.31,40.16
134.74,8.61,8.14,232.31,0.28,24.97,3.27,37.31
